# mapping of long names to short names in the 'm2m' xsd namespace
operation		op
to			to
from			fr
requestIdentifier	rqi
resourceType		ty
primitiveContent	pc
roleIDs			rids
originatingTimestamp	ot
requestExpirationTimestamp	rqet
resultExpirationTimestamp	rset
operationExecutionTime		oet
responseType		rt
resultPersistence	rp
resultContent		rcn
# 'ec' is short for 'eventCategory' element name in several complex types, vs. 'ec' for eventCat type name
eventCategory		ec	memberContext
deliveryAggregation	da
groupRequestIdentifier	gid
filterCriteria		fc
discoveryResultType	drt
responseStatusCode	rsc
tokens			tkns
tokenIDs		tids
tokenReqIndicator	tqi
localTokenIDs		ltids
assignedTokenIdentifiers	ati
tokenReqInfo		tqf
contentStatus		cnst
contentOffset		cnot
requestPrimitive	rqp
responsePrimitive	rsp
accessControlPolicyIDs	acpi
announcedAttribute	aa
announceTo		at
creationTime		ct
expirationTime		et
labels			lbl
lastModifiedTime	lt
link			lnk
parentID		pi
resourceID		ri
stateTag		st
resourceName		rn
privileges		pv
selfPrivileges		pvs
App-ID			api
AE-ID			aei
appName			apn
pointOfAccess		poa
ontologyRef		or
nodeLink		nl
contentSerialization	csz
creator			cr
maxNrOfInstances	mni
maxByteSize		mbs
maxInstanceAge		mia
currentNrOfInstances	cni
currentByteSize		cbs
locationID		li
disableRetrieval	disr
contentInfo		cnf
contentSize		cs
contentRef		conr
containerDefinition	cnd
content			con
cseType			cst
CSE-ID			csi
supportedResourceType	srt
notificationCongestionPolicy	ncp
source			sr
target			tg
lifespan		ls
eventCat		ec
deliveryMetaData	dmd
aggregatedRequest	arq
eventID			evi
eventType		evt
eventStart		evs
eventEnd		eve
operationType		opt
dataSize		ds
execStatus		exs
execResult		exr
execDisable		exd
execTarget		ext
execMode		exm
execFrequency		exf
execDelay		exy
execNumber		exn
execReqArgs		exra
execEnable		exe
memberType		mt
currentNrOfMembers	cnm
maxNrOfMembers		mnm
memberIDs		mid
membersAccessControlPolicyIDs	macp
memberTypeValidated	mtv
consistencyStrategy	csy
groupName		gn
locationSource		los
locationUpdatePeriod	lou
locationTargetID	lot
locationServer		lor
locationContainerID	loi
locationContainerName	lon
locationStatus		lost
serviceRoles		svr
description		dc
cmdType			cmt
mgmtDefinition		mgd
objectIDs		obis
objectPaths	obps
nodeID	ni
hostedCSELink	hcl
M2M-Ext-ID	mei
Trigger-Recipient-ID	tri
requestReachability	rr
